"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1606","should add the correct product to cart after sorting","chromium","2026-04-08","passed","2026-04-08","Cart Flow","shopping\cart.spec.ts","",""
"","8416","should show an error when username is missing","firefox","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","1332","should sort products by name in descending order","chromium","2026-04-08","passed","2026-04-08","Product sorting","inventory\sort.spec.ts","",""
"","1646","should show an error when first name is missing","chromium","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","3398","should complete checkout successfully","firefox","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","1616","should sort products by price in descending order","chromium","2026-04-08","passed","2026-04-08","Product sorting","inventory\sort.spec.ts","",""
"","8052","should show an error when password is missing","webkit","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","1952","should complete checkout successfully","chromium","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","2329","should sort products by price in descending order","webkit","2026-04-08","passed","2026-04-08","Product sorting","inventory\sort.spec.ts","",""
"","2720","should show an error when postal code is missing","webkit","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","2528","should show an error when all fields are missing","firefox","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","2484","should show backpack in cart after adding it from inventory","firefox","2026-04-08","passed","2026-04-08","Cart Flow","shopping\cart.spec.ts","",""
"","2766","should show an error when last name is missing","webkit","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","1960","should add a backpack to the cart and update cart badge","chromium","2026-04-08","passed","2026-04-08","Cart Flow","shopping\cart.spec.ts","",""
"","2695","should add a backpack to the cart and update cart badge","firefox","2026-04-08","passed","2026-04-08","Cart Flow","shopping\cart.spec.ts","",""
"","4283","should show an error when password is missing","firefox","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","5266","should show an error when username and password do not match","chromium","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","1791","should sort products by name in ascending order","chromium","2026-04-08","passed","2026-04-08","Product sorting","inventory\sort.spec.ts","",""
"","5190","should show an error when password is missing","chromium","2026-04-08","passed","2026-04-08","Authentication - Login","auth\login.spec.ts","",""
"","1450","should show backpack in cart after adding it from inventory","chromium","2026-04-08","passed","2026-04-08","Cart Flow","shopping\cart.spec.ts","",""
"","2638","should show an error when last name is missing","firefox","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
"","2755","should sort products by price in descending order","firefox","2026-04-08","passed","2026-04-08","Product sorting","inventory\sort.spec.ts","",""
"","3394","should show an error when first name is missing","webkit","2026-04-08","passed","2026-04-08","Checkout Flow","shopping\checkout.spec.ts","",""
